trial,cluster_index,cluster_size_houses,cluster_peak_kw,cluster_required_kva,chosen_transformer_kva
2,1,6,37.113697087726344,41.237441208584826,50.0
2,2,6,21.092285695309787,23.435872994788653,25.0
2,3,1,64.58551235523375,71.76168039470416,75.0
2,4,1,4.440859236395485,4.934288040439427,25.0
2,5,6,36.128532396516775,40.14281377390753,50.0
2,6,2,16.590303814398265,18.43367090488696,25.0
2,7,1,6.791306268692489,7.545895854102765,25.0
2,8,6,30.569072092622186,33.9656356584691,50.0
2,9,2,27.65560253807883,30.728447264532033,50.0
2,10,6,23.92193025777772,26.57992250864191,50.0
2,11,5,22.976265037925188,25.52918337547243,50.0
2,12,2,15.375473331668218,17.08385925740913,25.0
2,13,6,22.15427338199789,24.615859313330986,25.0
2,14,4,16.805468041031883,18.672742267813202,25.0
2,15,3,16.01494221800427,17.794380242226964,25.0
2,16,3,14.689318080685776,16.321464534095306,25.0
3,1,3,12.307835611801204,13.675372902001337,25.0
3,2,5,22.6904617780862,25.211624197873554,50.0
3,3,6,27.302539133149295,30.336154592388105,50.0
3,4,6,22.44458388140304,24.938426534892265,25.0
3,5,2,15.235117428774194,16.927908254193547,25.0
3,6,3,14.78380348093309,16.426448312147876,25.0
3,7,3,38.87346892552449,43.192743250582765,50.0
3,8,2,8.163771320965497,9.070857023294996,25.0
3,9,2,10.981063411687906,12.201181568542117,25.0
3,10,1,8.614373685758508,9.571526317509454,25.0
3,11,5,44.8988252895985,49.88758365510944,50.0
3,12,1,1.1851119478545455,1.3167910531717173,25.0
3,13,1,11.082996559140966,12.314440621267739,25.0
3,14,1,29.908809568926095,33.2320106321401,50.0
3,15,4,13.22677541442162,14.696417127135133,25.0
3,16,2,13.193527838694902,14.659475376327668,25.0
3,17,3,17.881415125385004,19.86823902820556,25.0
3,18,5,19.79300480569453,21.99222756188281,25.0
3,19,3,19.455928763893844,21.617698626548716,25.0
3,20,2,18.020980189729777,20.023311321921973,25.0
4,1,1,9.1963924682841,10.218213853649,25.0
4,2,2,11.076998143796104,12.307775715329004,25.0
4,3,4,21.596276494595354,23.995862771772615,25.0
4,4,4,17.872084751634265,19.857871946260293,25.0
4,5,3,34.15453338838878,37.9494815426542,50.0
4,6,2,20.9210752303895,23.245639144877224,25.0
4,7,1,6.523865827623483,7.248739808470537,25.0
4,8,3,18.745945560566533,20.82882840062948,25.0
4,9,2,11.52000219634123,12.800002440379144,25.0
4,10,6,32.625818204279796,36.25090911586644,50.0
4,11,3,14.13883792330895,15.709819914787722,25.0
4,12,4,34.007438589079136,37.78604287675459,50.0
4,13,4,8.456159685779774,9.395732984199748,25.0
4,14,6,25.40839646039851,28.23155162266501,50.0
4,15,5,23.191091943357243,25.767879937063604,50.0
4,16,4,26.457869735007034,29.397633038896704,50.0
4,17,3,27.97152697363248,31.079474415147196,50.0
4,18,3,11.240389263812414,12.489321404236016,25.0
5,1,3,18.77712727163957,20.86347474626619,25.0
5,2,4,23.47450548501253,26.082783872236142,50.0
5,3,5,36.654935021840316,40.727705579822576,50.0
5,4,4,18.13538076585002,20.15042307316669,25.0
5,5,1,18.452300421588728,20.502556023987474,25.0
5,6,3,16.99678514784383,18.88531683093759,25.0
5,7,3,25.38363369421689,28.204037438018766,50.0
5,8,3,12.560484439416415,13.956093821573795,25.0
5,9,2,12.248880496057971,13.60986721784219,25.0
5,10,4,29.166363445575584,32.40707049508398,50.0
5,11,3,11.853826389040046,13.170918210044496,25.0
5,12,3,15.122086591827625,16.802318435364025,25.0
5,13,6,42.0128172017264,46.68090800191822,50.0
5,14,5,22.816078927674255,25.35119880852695,50.0
5,15,1,9.686175735325884,10.762417483695426,25.0
5,16,1,6.613860322980903,7.348733692201003,25.0
5,17,2,19.75426756322047,21.949186181356076,25.0
5,18,5,24.33063724496472,27.03404138329413,50.0
5,19,2,12.700828008393252,14.112031120436946,25.0
6,1,3,12.348091571136887,13.720101745707652,25.0
6,2,4,30.053988408250973,33.39332045361219,50.0
6,3,2,9.982099784995183,11.091221983327982,25.0
6,4,1,11.39024970480324,12.655833005336934,25.0
6,5,3,15.849819661767375,17.610910735297082,25.0
6,6,2,10.682910100358312,11.869900111509235,25.0
6,7,5,23.30893868109273,25.898820756769698,50.0
