Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Lighting Electric Power (kW),HVAC Cooling Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-10-23 22:43:45,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.537190005957726,20.039444199512243,-0.07166691159892835
2025-10-23 22:43:50,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.53601717776619,20.038057574390404,-0.0730535367207672
2025-10-23 22:43:55,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.53484434196103,20.036673325538448,-0.07443778557272296
2025-10-23 22:44:00,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.533671498631,20.035291445353455,-0.07581966575771659
2025-10-23 22:44:05,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.53249864786457,20.033911926261126,-0.07719918485004484
2025-10-23 22:44:10,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.53132578974992,20.03253476071563,-0.07857635039554012
2025-10-23 22:44:15,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.53015292437495,20.031159941199512,-0.07995116991165929
2025-10-23 22:44:20,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.52898005182729,20.029787460223538,-0.08132365088763294
2025-10-23 22:44:25,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.52780717219425,20.028417310326596,-0.08269380078457544
2025-10-23 22:44:30,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.52663428556291,20.027049484075576,-0.08406162703559517
2025-10-23 22:44:35,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.525461392020034,20.02568397406524,-0.08542713704592941
2025-10-23 22:44:40,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.524288491652115,20.024320772918106,-0.08679033819306525
2025-10-23 22:44:45,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.523115584545366,20.02295987328432,-0.08815123782684964
2025-10-23 22:44:50,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.521942670785734,20.021601267841564,-0.08950984326960665
2025-10-23 22:44:55,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.52076975045889,20.02024494929491,-0.09086616181626184
2025-10-23 22:45:00,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.51959682365021,20.018890910376715,-0.09222020073445591
2025-10-23 22:45:05,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.51789868992336,20.017539143846513,-0.09357196726465844
2025-10-23 22:45:10,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.516200555644055,20.016189642490872,-0.09492146862029927
2025-10-23 22:45:15,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.51450242089718,20.01484239912331,-0.09626871198786091
2025-10-23 22:45:20,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.51280428576733,20.013497406584165,-0.09761370452700646
2025-10-23 22:45:25,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.51110615033885,20.012154657740485,-0.09895645337068615
2025-10-23 22:45:30,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.50940801469581,20.010814145485902,-0.1002969656252688
2025-10-23 22:45:35,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.50770987892201,20.009475862740533,-0.10163524837063775
2025-10-23 22:45:40,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.50601174310099,20.008139802450874,-0.10297130866029747
2025-10-23 22:45:45,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.504313607316014,20.006805957589656,-0.10430515352151559
2025-10-23 22:45:50,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.502615471650095,20.005474321155777,-0.10563678995539405
2025-10-23 22:45:55,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.500917336185964,20.004144886174153,-0.10696622493701824
2025-10-23 22:46:00,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.4992192010061,20.00281764569563,-0.1082934654155423
2025-10-23 22:46:05,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.497521066192725,20.00149259279687,-0.1096185183143028
2025-10-23 22:46:10,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.49582293182778,20.000169720580242,-0.11094139053092889
2025-10-23 22:46:15,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.49412479799298,19.9988490221737,-0.11226208893747014
2025-10-23 22:46:20,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.492426664769745,19.997530490730696,-0.11358062038047478
2025-10-23 22:46:25,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.49072853223926,19.99621411943006,-0.11489699168111045
2025-10-23 22:46:30,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.48903040048244,19.99489990147589,-0.11621120963528142
2025-10-23 22:46:35,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.48733226957996,19.99358783009746,-0.11752328101371035
2025-10-23 22:46:40,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.485634139612216,19.992277898549098,-0.11883321256207324
2025-10-23 22:46:45,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.48393601065938,19.990970100110086,-0.12014101100108476
2025-10-23 22:46:50,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.48223788280134,19.989664428084563,-0.12144668302660833
2025-10-23 22:46:55,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.48053975611775,19.9883608758014,-0.1227502353097698
2025-10-23 22:47:00,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.47884163068802,19.987059436614132,-0.12405167449703924
2025-10-23 22:47:05,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.47714350659128,19.985760103900812,-0.12535100721035874
2025-10-23 22:47:10,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.47544538390644,19.98446287106393,-0.12664824004724196
2025-10-23 22:47:15,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.473747262712145,19.98316773153032,-0.12794337958085222
2025-10-23 22:47:20,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.47204914308679,19.98187467875104,-0.1292364323601305
2025-10-23 22:47:25,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.47035102510854,19.98058370620128,-0.13052740490989123
2025-10-23 22:47:30,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.468652908855304,19.979294807380253,-0.13181630373091835
2025-10-23 22:47:35,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.46695479440474,19.978007975811103,-0.13310313530006823
2025-10-23 22:47:40,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.465256681834276,19.976723205040802,-0.1343879060703692
2025-10-23 22:47:45,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.463558571221085,19.97544048864005,-0.13567062247112105
2025-10-23 22:47:50,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.46186046264211,19.97415982020317,-0.1369512909080015
2025-10-23 22:47:55,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.46016235617403,19.97288119334803,-0.13822991776314097
2025-10-23 22:48:00,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.4584642518933,19.971604601715914,-0.13950650939525744
2025-10-23 22:48:05,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.45676614987613,19.97033003897145,-0.14078107213972046
2025-10-23 22:48:10,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.455068050198506,19.969057498802506,-0.14205361230866487
2025-10-23 22:48:15,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.453369952936164,19.96778697492008,-0.1433241361910902
2025-10-23 22:48:20,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.451671858164595,19.96651846105823,-0.14459265005294242
2025-10-23 22:48:25,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.449973765959065,19.965251950973947,-0.1458591601372241
2025-10-23 22:48:30,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.448275676394594,19.963987438447084,-0.14712367266408677
2025-10-23 22:48:35,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.44657758954599,19.962724917280255,-0.1483861938309161
2025-10-23 22:48:40,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.4448795054878,19.961464381298732,-0.14964672981243865
2025-10-23 22:48:45,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.44318142429436,19.960205824350364,-0.15090528676080694
2025-10-23 22:48:50,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.44148334603976,19.958949240305472,-0.1521618708056991
2025-10-23 22:48:55,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.43978527079787,19.957694623056756,-0.15341648805441466
2025-10-23 22:49:00,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.438087198642314,19.956441966519222,-0.15466914459194925
2025-10-23 22:49:05,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.4363891296465,19.955191264630066,-0.15591984648110468
2025-10-23 22:49:10,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.434691063883605,19.95394251134859,-0.15716859976258135
2025-10-23 22:49:15,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.432993001426574,19.95269570065611,-0.1584154104550599
2025-10-23 22:49:20,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.43129494234813,19.951450826555874,-0.15966028455529724
2025-10-23 22:49:25,0.30756002854793607,0.19347728251153662,0.0,0.019034762976998278,0.05,0.23852526557093778,0.0,0.0,0.0,0.0,51.42959688672077,19.95020788307296,-0.16090322803821167
