Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),HVAC Heating Electric Power (kW),Other Electric Power (kW),Lighting Electric Power (kW),HVAC Cooling Electric Power (kW),PV Electric Power (kW),Water Heating Electric Power (kW),Battery Electric Power (kW),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Battery SOC (-),Temperature - Indoor (C),Unmet HVAC Load (C)
2018-01-01 03:50:00,5.859990450901077,3.771822418571593,0.0,5.543234315253078,0.2280571598041254,0.016272647133540527,0.05,0.0,0.0224263287103332,0.0,0.0,51.594589000446646,0.15,20.64577005434965,0
2018-01-01 04:00:00,5.881930211508246,3.785901771583598,0.0,5.566047891650434,0.22718054104206215,0.016272647133540527,0.05,0.0,0.02242913168220974,0.0,0.0,51.560398504605146,0.15,20.645767933885104,0
2018-01-01 04:10:00,5.905794226770221,3.801311649704229,0.0,5.589899883644674,0.22718054104206215,0.016272647133540527,0.05,0.0,0.02244115494994414,0.0,0.0,51.526384597227064,0.15,20.645630722154234,0
2018-01-01 04:20:00,5.927476816654741,3.815310068468385,0.0,5.611564384777901,0.22718054104206215,0.016272647133540527,0.05,0.0,0.022459243701237794,0.0,0.0,51.49240720156567,0.15,20.645636758547756,0
2018-01-01 04:30:00,5.525761214562252,3.5558218783850415,0.0,5.209834755662308,0.22718054104206215,0.016272647133540527,0.05,0.0,0.022473270724341292,0.0,0.0,51.45861800595248,0.15,20.64564075990166,0
2018-01-01 04:40:00,5.544493219450255,3.5679109821511474,0.0,5.2285400068316665,0.22718054104206215,0.016272647133540527,0.05,0.0,0.022500024442986166,0.0,0.0,51.42486524757611,0.15,20.645646446678956,0
2018-01-01 04:50:00,5.563786128358777,3.5803876574786124,0.0,5.24787006931489,0.22718054104206215,0.016272647133540527,0.05,0.0,0.022462870868285217,0.0,0.0,51.391323785016105,0.15,20.645644099751305,0
2018-01-01 05:00:00,5.765470696521021,3.6382913109560446,0.0,5.265878164300251,0.22718054104206215,0.015323375817411847,0.05,0.0,0.20708861536129672,0.0,0.0,51.357781643269476,0.15,20.645657255303245,0
2018-01-01 05:10:00,6.049311521360603,3.792834420877187,0.0,5.476865370746798,0.22718054104206215,0.015323375817411847,0.05,0.0,0.27994223375433164,0.0,0.0,51.44294762520725,0.15,20.618107432141436,0
2018-01-01 05:20:00,5.995190638140309,3.828471603296461,0.0,5.601326768490236,0.22718054104206215,0.015323375817411847,0.05,0.0,0.10135995279059874,0.0,0.0,51.55634762578703,0.15,20.60629195207429,0
