Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),HVAC Cooling Electric Power (kW),HVAC Heating Electric Power (kW),Other Electric Power (kW),Lighting Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2018-01-02 09:00:00,0.600468551465592,0.24189442262313893,0.1857184965409897,0.05,0.182138450746211,0.30308145238640755,0.06524864833297338,0.18002873896150584,0.005689757579483878,0.0,51.65708124024654,20.842276992956688,0.0
2018-01-02 10:00:00,0.43694456989137465,0.1875985954010696,0.15794910717964858,0.05,0.1425162968438622,0.23068701609031508,0.013741256957197382,0.1408655289267518,0.01708357825289678,0.0,51.65737544801105,20.84299838902725,0.0
2018-01-02 11:00:00,0.3963419327702536,0.1875985954010696,0.10729839718705077,0.05,0.10265198185750793,0.23068701609031508,0.013002934822430633,0.1014629627626333,0.005835434424417475,0.0,51.638769650185594,20.76414260076253,0.0
2018-01-02 12:00:00,0.3737077161842823,0.18891352354416444,0.08905857251421512,0.05,0.07858095151945299,0.23244025361444154,0.01268651105038774,0.07767074744779907,0.011387825066416038,0.0,51.65713756170387,20.763652919197305,0.0
2018-01-02 13:00:00,0.36205189121205633,0.18891352354416444,0.07202277824902302,0.05,0.06703060113790804,0.23244025361444154,0.012581036459706776,0.0662541849085114,0.005768593340511627,0.0,51.64807065950363,20.76460586530839,0.0
2018-01-02 14:00:00,0.477137166217787,0.24570708452707002,0.06536535415507584,0.05,0.06036177898537822,0.308165001591649,0.05861038564075982,0.05966260780021939,0.005702746354856455,0.0,51.65724671136746,20.764535910799076,0.0
2018-01-02 15:00:00,0.4070805591165104,0.21965027790483427,0.07763111921256312,0.05,0.0456495451656724,0.2734225927620013,0.038008421188836725,0.0451207859552592,0.03251033325730392,0.0,51.657354237695785,20.84177193456919,0.0
2018-01-02 16:00:00,0.5090064242891327,0.2586962446499843,0.08349786497727296,0.05,0.056533370003179644,0.3254838817555348,0.07698917253041822,0.055878543323606124,0.027619321653666835,0.0,51.61357818079688,20.806637842826255,0.0
2018-01-02 17:00:00,0.5652189836152768,0.27315809280761266,0.10478330382484412,0.05,0.06901169500595328,0.3447663459657059,0.10144094264361762,0.06821233174333605,0.03657097208150807,0.0,51.62156506909955,20.86472524194279,0.0
2018-01-02 18:00:00,0.8232296916252677,0.3607676816664001,0.12157224339807174,0.05,0.08083466898432826,0.4615791311107558,0.23081589153018364,0.07989836007717387,0.041673883320897866,0.0,51.60694726855323,20.89299892162781,0.0
2018-01-02 19:00:00,0.8252611997838628,0.3417836456619569,0.1360422379188811,0.05,0.10326050193086068,0.4362670831048316,0.23573361474817053,0.1020644343409279,0.03397780357795317,0.0,51.59861435393549,21.050937593235417,0.0
2018-01-02 20:00:00,0.5981992862406682,0.25782895881548135,0.15200740471401736,0.05,0.11321668084683263,0.3243275006428641,0.11065510475097143,0.11190529072119362,0.04010211399282375,0.0,51.611181841861644,21.03850510287896,0.0
2018-01-02 21:00:00,0.5518441446053601,0.23626830910439225,0.15011643942717062,0.05,0.13419180509091358,0.2955799676947453,0.07207237181970123,0.1326374598582003,0.017478979568970328,0.0,51.601181010299904,20.886462517125835,0.0
2018-01-02 22:00:00,0.4410551479478136,0.19022845168725927,0.1400948564280433,0.05,0.13584265309506172,0.234193491138568,0.021019003714183918,0.13426918607079455,0.005825670357248773,0.0,51.63812397064072,20.843100632965186,0.0
2018-01-02 23:00:00,0.43191996256960435,0.188256059472617,0.14214460589117894,0.05,0.13229061254210916,0.2315636348523783,0.018065715175116917,0.13075828884471016,0.01138631704646878,0.0,51.65715350615876,20.77129508118354,0.0
2018-01-03 00:00:00,0.4391041075940379,0.1875985954010696,0.1519501490192341,0.05,0.1421444443701823,0.23068701609031508,0.016272647133540527,0.1404979836245817,0.011452165394652391,0.0,51.648073122058996,20.767592140464078,0.0
2018-01-03 01:00:00,0.44722676640875597,0.18694113132952217,0.15516214822314003,0.05,0.15114372194696363,0.22981039732825184,0.016272647133540527,0.14939302246495245,0.005769125758187589,0.0,51.6479655935057,20.765821508986154,0.0
2018-01-03 02:00:00,0.4517362492095131,0.18628366725797474,0.16041936093331746,0.05,0.15652982350978395,0.22893377856618863,0.016272647133540527,0.1547167367509833,0.005702624182334171,0.0,51.657245841943954,20.765240104166633,0.0
2018-01-03 03:00:00,0.4694829564094278,0.1947762769003399,0.16676751488492303,0.05,0.16295305118654513,0.24025725808934215,0.016272647133540527,0.16106556410716427,0.005701950777758756,0.0,51.65735443720017,20.764658699347113,0.0
2018-01-03 04:00:00,0.46409540076616856,0.1849687391148799,0.18432268724503717,0.05,0.1706422125905659,0.22718054104206215,0.016272647133540527,0.1686656618655786,0.015657025379458574,0.0,51.65735553685144,20.771602426901225,0.0
2018-01-03 05:00:00,0.5111046043730022,0.20926376242423397,0.22521023576510998,0.05,0.17455578358404764,0.25957390545453424,0.02697491533442026,0.17253390192091195,0.05267633384419804,0.0,51.6410991720476,20.76349588970807,0.0
2018-01-03 06:00:00,0.5508597646590961,0.22225292254714824,0.19905043090061303,0.05,0.17366921029880875,0.27689278561841996,0.05029776874186741,0.17165759782430515,0.027392833076307892,0.0,51.58064765287105,20.79057453946516,0.0
2018-01-03 07:00:00,0.6110358442735998,0.2510969517777904,0.17705337683577882,0.05,0.17311187404828934,0.3153514912592762,0.07257247896603429,0.17110671720603116,0.005946659629747651,0.0,51.62193491875762,20.816806928037877,0.0
2018-01-03 08:00:00,0.5578237190646527,0.22848483183550847,0.17448580518368326,0.05,0.170775634395956,0.28520199800290025,0.051846086665796355,0.1687975382446515,0.005688266939031755,0.0,51.656955933982786,20.855383388671328,0.0
2018-01-03 09:00:00,0.5539184852946483,0.24189442262313893,0.15112746152442336,0.05,0.13558838457526726,0.30308145238640755,0.06524864833297338,0.13401786274621008,0.01710959877821327,0.0,51.65737788218618,20.82308112101365,0.0
2018-01-03 10:00:00,0.40851175650302457,0.1875985954010696,0.13000188270239207,0.05,0.1140834834555121,0.23068701609031508,0.013741256957197382,0.11276205314521656,0.017239829557175505,0.0,51.63872715937876,20.842998389027255,0.0
2018-01-03 11:00:00,0.38524573562086684,0.1875985954010696,0.1077510286007126,0.05,0.09155578470812113,0.23068701609031508,0.013002934822430633,0.09049529299335524,0.017255735607357367,0.0,51.63851449607525,20.76414260076253,0.0
2018-01-03 12:00:00,1.7123799198958483,0.5810540246073842,0.07922265380300293,0.05,0.07310918624203966,1.5538002715676866,0.03547046208612202,0.07226236169097354,0.006960292112029393,0.0,51.63848852192994,20.763652919197302,0.0
2018-01-03 13:00:00,1.5917972914232665,0.406223315112096,0.07610520991113014,0.05,0.06559650983553329,1.4185132901661424,0.05768749142159083,0.06483670470230316,0.011268505208826982,0.0,51.655300699836545,20.93466207681933,0.0
2018-01-03 14:00:00,0.5170759902701934,0.25982659482698683,0.07492006864775713,0.05,0.06999609245364788,0.3269910153248714,0.07008888249167404,0.0691853269039917,0.00573474174376542,0.0,51.64826550557068,20.942573264160508,0.0
2018-01-03 15:00:00,0.6355298144140419,0.31351741341824757,0.07770233118557268,0.05,0.07286152758590957,0.39857877344655246,0.11408951338157977,0.07201757166792604,0.00568475951764664,0.0,51.65730199009997,20.860996940669892,0.0
2018-01-03 16:00:00,0.7022692696880631,0.3271640376127094,0.09962661014197004,0.05,0.09505684721727585,0.41677427237250153,0.1404381500982858,0.09395580265491354,0.005670807487056493,0.0,51.657383609709456,20.934295014559257,0.0
2018-01-03 17:00:00,0.8168612312201695,0.35345787764177633,0.13735420793182207,0.05,0.1274699960057553,0.4518327257445908,0.1875585094698234,0.12599350956553418,0.011360698366287884,0.0,51.657406392994176,20.963115615328835,0.0
2018-01-03 18:00:00,1.17670509217986,0.3607676816664001,0.16012643721815709,0.05,0.1562134550794961,0.7396757455701803,0.23081589153018364,0.154404032819888,0.005722404398269091,0.0,51.648114956663704,21.01615468629716,0.0
2018-01-03 19:00:00,1.157404342348232,0.3417836456619569,0.16904470465028457,0.05,0.15730703003580548,0.7143636975642561,0.23573361474817053,0.15548494088481157,0.013559763765472988,0.0,51.65732213664805,21.183736978366266,0.0
2018-01-03 20:00:00,1.3507757883251816,0.3565327406990287,0.2110840213539409,0.05,0.17698628404105124,0.9238443838285599,0.19994512045557053,0.17493624986296955,0.03614777149097133,0.0,51.64452394295592,21.171304488009813,0.0
2018-01-03 21:00:00,3.3510270957498727,0.7218987640072929,0.22498692351145563,0.05,0.19721473703225806,2.9489967520605442,0.1548156066570704,0.1949303964488728,0.030056527062582838,0.0,51.60763834355369,21.17882225835262,0.0
2018-01-03 22:00:00,2.9830899365796952,0.5587020390747107,0.22514713359046726,0.05,0.2105353895405735,2.588827086808926,0.13372746023019602,0.2080967556848912,0.017050377905576054,0.0,51.61758517926302,21.329075144897683,0.0
2018-01-03 23:00:00,2.834706682163963,0.5002516056604013,0.23895940206292093,0.05,0.232790797697171,2.510893175589847,0.041022708876945375,0.2300943791910261,0.008865022871894829,0.0,51.63882386544558,21.227770063489704,0.0
2018-01-04 00:00:00,0.5477532658957668,0.1875985954010696,0.2535632227052972,0.05,0.2507936026719112,0.23068701609031508,0.016272647133540527,0.24788865746721717,0.005674565238080009,0.0,51.65219032655213,21.118092521616067,0.0
2018-01-04 01:00:00,0.5738076142430579,0.18694113132952217,0.28020909274449507,0.05,0.27772456978126553,0.22981039732825184,0.016272647133540527,0.2745076828726022,0.005701409871892872,0.0,51.657400256689435,20.765821508986157,0.0
2018-01-04 02:00:00,0.6106973242796374,0.18628366725797474,0.31753839437119413,0.05,0.3154908985799082,0.22893377856618863,0.016272647133540527,0.31183656384732233,0.005701830523871803,0.0,51.65735642013595,20.765240104166637,0.0
2018-01-04 03:00:00,0.6176659063570118,0.18562620318642734,0.3252928351103159,0.05,0.3233360994193459,0.2280571598041254,0.016272647133540527,0.3195908936345658,0.005701941475750164,0.0,51.65735573322276,20.764658699347116,0.0
2018-01-04 04:00:00,0.6082164663247833,0.1849687391148799,0.3168194202502859,0.05,0.31476327814918065,0.22718054104206215,0.016272647133540527,0.31111737145247187,0.005702048797814027,0.0,51.65735555204137,20.764077294527596,0.0
2018-01-04 05:00:00,0.6081070604490141,0.1849687391148799,0.3357868883700001,0.05,0.31560314358954,0.22718054104206215,0.015323375817411847,0.31194750872170757,0.023839379648292528,0.0,51.65735537678737,20.763495889708075,0.0
2018-01-04 06:00:00,0.6876799899007784,0.22225292254714824,0.3439132192131737,0.05,0.310489435540491,0.27689278561841996,0.05029776874186741,0.3068930328122228,0.037020186400950894,0.0,51.627737611108046,20.762866299124212,0.0
2018-01-04 07:00:00,0.7068499349951498,0.23839728050244624,0.3149381337792438,0.05,0.29739503754324376,0.29841859622548395,0.06103630122642199,0.29395030737865013,0.02098782640059368,0.0,51.606213713844284,20.816806928037877,0.0
2018-01-04 08:00:00,0.7459430884864042,0.2688713640900191,0.34782054436468607,0.05,0.26804400404522033,0.3390507076755811,0.08884837676560277,0.26493924724160767,0.0828812971230784,0.0,51.63239411964334,20.837287819503114,0.0
2018-01-04 09:00:00,0.7764120473289324,0.2958483055568992,0.27066237883341615,0.05,0.2353842539769103,0.37501996296475465,0.11600783038726745,0.2326577954366372,0.038004583396778965,0.0,51.53132377318218,20.880836736526412,0.0
2018-01-04 10:00:00,1.4110858608604435,0.4430628207209108,0.20256002652044391,0.05,0.18854097681296045,1.1095441481421413,0.06300073590534186,0.18635710449466358,0.01620292202578033,0.0,51.604606220448574,20.9210360206957,0.0
2018-01-04 11:00:00,0.5744876090370526,0.24439215638397518,0.18933327356220558,0.05,0.15788994319208519,0.3064117640675226,0.0601859017774449,0.1560611021512502,0.033272171410955405,0.0,51.640207737740695,20.920781625540304,0.0
2018-01-04 12:00:00,0.5684733418080591,0.24854676257621527,0.17451665186359044,0.05,0.1482676896956934,0.31195123899050936,0.058254413121856294,0.14655030332856178,0.027966348535028666,0.0,51.612334119909065,20.84165406340825,0.0
2018-01-04 13:00:00,0.5400544412583743,0.24854676257621527,0.14509092652802114,0.05,0.12041571084627416,0.31195123899050936,0.05768749142159083,0.11902093427276517,0.02606999225525596,0.0,51.62099838368474,20.84387122681124,0.0
2018-01-04 14:00:00,0.5227874467492301,0.24570708452707002,0.11071040926125221,0.05,0.10601205951682123,0.308165001591649,0.05861038564075982,0.10478412060349897,0.005926288657753237,0.0,51.624095081671996,20.84349522412559,0.0
2018-01-04 15:00:00,0.5194629750190776,0.2510444963370515,0.10119552361676447,0.05,0.09085109302016744,0.31528155067162433,0.0633303313272857,0.08979876375738555,0.011396759859378925,0.0,51.6569891992234,20.84177193456919,0.0
2018-01-04 16:00:00,0.5465597970735453,0.2586962446499843,0.14444204926019005,0.05,0.09408674278759233,0.3254838817555348,0.07698917253041822,0.0929969349560758,0.051445114304114234,0.0,51.64805606923085,20.849251225163634,0.0
2018-01-04 17:00:00,0.6414180137504542,0.29335135893486797,0.10181330611555406,0.05,0.09671371793171518,0.3716907008020463,0.12301359501669258,0.09559348181667597,0.006219824298878081,0.0,51.582658200737136,20.86472524194279,0.0
2018-01-04 18:00:00,0.6155893764328398,0.277470458891472,0.10164058812222357,0.05,0.09131304691540651,0.3505161674108516,0.12376016210658161,0.09025536683530527,0.01138522128691829,0.0,51.65650986354226,20.923913862557892,0.0
2018-01-04 19:00:00,0.6093110423880501,0.2673209768177029,0.1056092836344385,0.05,0.09526469730120109,0.3369835246458262,0.12706282044102277,0.09416124520890917,0.011448038425529335,0.0,51.64807491140439,20.91142976299441,0.0
2018-01-04 20:00:00,0.39561749749285513,0.19220084390190156,0.09820835801420251,0.05,0.08777514635391352,0.2368233474247577,0.021019003714183918,0.0867584458169956,0.01144991219720691,0.0,51.64797233273352,20.905191749071204,0.0
2018-01-04 21:00:00,0.40633448534248523,0.19154337983035413,0.10823225599222402,0.05,0.0978921086960734,0.23594672866269445,0.022495647983717417,0.09675822326716134,0.011474032725062682,0.0,51.64796927291556,20.7730392956421,0.0
2018-01-04 22:00:00,0.4059301652438943,0.19022845168725927,0.10531904973707239,0.05,0.10071767039114243,0.234193491138568,0.021019003714183918,0.09955105644838787,0.005767993288684517,0.0,51.64792988475267,20.773437253953027,0.0
2018-01-04 23:00:00,0.40439523180630643,0.188256059472617,0.10925388411496259,0.05,0.1047658817788112,0.2315636348523783,0.018065715175116917,0.1035523773566628,0.005701506758299789,0.0,51.65724769123571,20.77129508118354,0.0
2018-01-05 00:00:00,0.38183248885247745,0.1875985954010696,0.0895911454618007,0.05,0.08487282562862188,0.23068701609031508,0.016272647133540527,0.08388974270628262,0.005701402755518081,0.0,51.657356261923084,20.767592140464078,0.0
2018-01-05 01:00:00,0.40311496332189295,0.18694113132952217,0.11149389132299542,0.05,0.10703191886010055,0.22981039732825184,0.016272647133540527,0.10579216690419203,0.0057017244188033835,0.0,51.657356431756796,20.765821508986157,0.0
2018-01-05 02:00:00,0.3766408798188481,0.18628366725797474,0.08619303210429387,0.05,0.08143445411911895,0.22893377856618863,0.016272647133540527,0.08049119789380096,0.005701834210492901,0.0,51.65735590648944,20.765240104166637,0.0
