# file...... ochre_load.csv
# date...... Tue Oct 21 17:56:40 2025
# user...... midrar
# host...... (null)
# target.... triplex_load 20
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,constant_power_12
2018-01-01 07:10:00 PST,+633.765+0j
2018-01-01 07:20:00 PST,+657.783+0j
2018-01-01 07:30:00 PST,+656.428+0j
2018-01-01 07:40:00 PST,+656.316+0j
2018-01-01 07:50:00 PST,+666.746+0j
2018-01-01 08:00:00 PST,+667.419+0j
2018-01-01 08:10:00 PST,+667.611+0j
2018-01-01 08:20:00 PST,+712.027+0j
2018-01-01 08:30:00 PST,+709.81+0j
2018-01-01 08:40:00 PST,+709.199+0j
2018-01-01 08:50:00 PST,+578.291+0j
2018-01-01 09:00:00 PST,+585.157+0j
2018-01-01 09:10:00 PST,+738.123+0j
2018-01-01 09:20:00 PST,+815.909+0j
2018-01-01 09:30:00 PST,+813.505+0j
2018-01-01 09:40:00 PST,+813.708+0j
2018-01-01 09:50:00 PST,+831.863+0j
2018-01-01 10:00:00 PST,+832.961+0j
2018-01-01 10:10:00 PST,+833.785+0j
2018-01-01 10:20:00 PST,+672.34+0j
2018-01-01 10:30:00 PST,+678.506+0j
2018-01-01 10:40:00 PST,+679.268+0j
2018-01-01 10:50:00 PST,+700.271+0j
2018-01-01 11:00:00 PST,+701.022+0j
2018-01-01 11:10:00 PST,+701.736+0j
2018-01-01 11:20:00 PST,+692.208+0j
2018-01-01 11:30:00 PST,+693.237+0j
2018-01-01 11:40:00 PST,+693.955+0j
2018-01-01 11:50:00 PST,+698.545+0j
2018-01-01 12:00:00 PST,+699.31+0j
2018-01-01 12:10:00 PST,+905.061+0j
2018-01-01 12:20:00 PST,+838.17+0j
2018-01-01 12:30:00 PST,+840.797+0j
2018-01-01 12:40:00 PST,+841.5+0j
2018-01-01 12:50:00 PST,+842.791+0j
2018-01-01 13:00:00 PST,+843.557+0j
2018-01-01 13:10:00 PST,+844.326+0j
